6 April 2021,50,Perfect meal!,Just had a lovely birthday dinner celebration with my boy & my man! The sausage platter was so juicy and grilled to perfection. My BBQ soft bone ribs was so flavourful and I almost wanted to lick the whole plate clean. We ordered Fruity red...More
28 December 2020,10,Tasteless sucking pig....,I actually ordered for take away this will be my 1st & last for their sucking pig tasteless !!!!!!presentation is perfect it looks good but not worthy for half a portion for RM 200 ..will not recommend this
22 December 2020,50,Good for Spanish foods lover,I am really happy to find the great Spanish restaurant in KL. Definitely I would visit again and recommend to my friends!
16 October 2020,50,Good place If you are after pork,"Good quality food, generous portions and friendly service. My wife and I have been 4 times and each time we were satisfied. The schnitzel is very good.More"
18 September 2020,50,"Sangria, Tapas and Suckling Pig were excellent","Zar Zar, server, was excellent for service, knowledge and making our experience memorable. Food selection and Sangria was very good tapas, and main suckling pig. Food prepared well and I enjoyed the ‘imported’ specialty items like chorizo and suckling pig. Special dessert (Warrens) was an...More"
15 September 2020,50,Satisfied,"Excellent European & Spanish dinning! The suckling pig is definitely a must try dish. Its crispy, tender & juicy. Good service and superb ambiance for dinnerMore"
14 September 2020,40,We had our wedding anniversary Dinner here. Food was superb! Specially the sucking pig we enjoyed the food.,We had our wedding anniversary Dinner here. Food was superb! Specially the sucking pig we enjoyed the food. We are looking forward to visit again....More
6 September 2020,50,Fantastic dinner,I had a very nice dinner at El Cerdo. The food is very well prepared and really tasteful. Martin was my waiter and he was very polite and thoughtful.More
31 August 2020,40,Good value sunday brunch,Good value brunch. Very good staff and good value for money. Food is nice and vibe is relaxed. Would recommend to go.More
23 March 2020,40,"Think about pork dish, think of El cerdo",I really wanna eat a good pasta for our Anniversary day and it needed to be a quick one as it was the last day of Lockdown the country after epidemic spread out. We ordered signature pasta serve with pork cheek fillet and braised 3...More
13 March 2020,50,Birthday party,The foods are so nice. Environment is clean and comfortable. Staffs are friendly and helpful. Highly recommended.More
12 March 2020,40,Great night out,"Loved El Cerdo. I lived in Spain for years and it brought back fond memories. Cochinillo was excellent. Paella was just average, flavors weren't quite right but I'm used to the smokiness of cooking paella over an open fire which this version didn't have. Lovely...More"
10 March 2020,50,Best Porkie Meals!,"Came back here after 11 years and it is still as good as I remembered it to be, even better maybe! The seafood pasta, the squid ink paella and pork ribs are a definite must to order! If you can still go for another one,...More"
26 February 2020,50,"Absolutely amazing, you must go.",How many times can you say the dish looked better than the advertising menu. We had pre booked the dinner and received a confirmation call the day before. Upon entering we where taken to our table and offered the drinks menu which came with in...More
23 February 2020,40,Food and services,Food and ambiance good.. Service also good especially Ren and Aiza are kind and polite in explaining the food.More
18 February 2020,50,Birthday celebration for my father,"The food and ambience are damn awesome. They provide good service, especially REN. He serve us with a positive attitude. I came here for valentines too ❤️More"
8 February 2020,40,Our date night go to place!,Service was great (Ren was our waiter) and food was excellent as usual. Maybe a bit pricey for the average household but its worth it!
22 January 2020,40,happy to smash the plates,"the suckling pig is crispy, skin is nic and crunchy. The birthday dessert cheese cake is nice and oi oi birthday song is funny 😎.More"
19 January 2020,50,Great food with friendly service,Had a wonderful anniversary dinner with hubby and kids. Lovely complimentary drinks and balloon at the end of our dinner. Great service and food.More
19 January 2020,50,Birthday dinner,"The food was excellent, the service was good. The gentleman that served us, Martin was very accommodative and friendly!! Will definitely go there again.More"
13 January 2020,50,Anniversary celebration,It was a great dining experience with El Cerdo. The food and wine was amazing and the staff (Cho and Sunny) was very friendly. Highly recommendedMore
5 January 2020,50,Birthday celebration,"This is my 2nd time to here,It was great dining experience with el cerdo,great food ,good service..i love it..definitely will come back agianMore"
3 January 2020,50,"Nice ambiance, great food, great service",It was a great dining experience with El Cerdo. Had my birthday celebration here and definitely will come back again!More
1 January 2020,30,Not quite equal to my first experience 9 months ago.,"A little disappointed with the service this time around. First... the reservation. I booked about 2 weeks in advance, it was confirmed relatively quickly. The day before dinner, I received an sms asking me to reconfirm my booking. Great. And so I did, via email....More"
29 December 2019,40,Birthday celebration,"Great food, quite pricey. We ordered the Spanish Iberico sausage, red wine pork belly fettuccine and pork paella. Overall, quality of food was great, very generous with the amount of pork in the pasta. They provided a free cheese cake for the birthday and a...More"
26 December 2019,40,Suckling Pig for Dinner,"Fantastic. Was here for dinner, ordered half suckling pig. It came with mini potato and salad. Did the plate chopping on the pig. Thanks to Vivian for a clear instruction on how to do it. Staff was friendly and attentive. Had a wonderful time. Pricing...More"
25 December 2019,50,"Great service, excellent food",Very good quality pork and good place to celebrate Christmas. Was there for my birthday and the staff was excellent. Sang a birthday song and even gave a complimentary cheesecake with tequila shots. No regrets at all. Special thanks to Cito and Ren for serving...More
19 December 2019,50,Wonderful hospitality as always,As always food is consistently good. Best pork knuckle and suckling piglet in town. This time tried the el cerdo pasta as well. Irene was our great host today. Very attentive and made our meal extra special as we also celebrated a birthday here.More
15 December 2019,40,Birthday dinner,"Great place for dinner, good food and staff are very friendly esp. Pamela & Aiza for their food recommendations. Definitely will come back again.👍More"
13 December 2019,50,Wonderful dinner at El Cerdo,"Overall a very pleasant dinner experience, with a delicious birthday cake given on the house. Also, Irene has been very responsive to our requests throughout the session.More"
13 December 2019,50,Great atmosphere and hospitality!,"Really enjoyed our food here and the staffs Martin and another girl (couldn’t remember her name, rhymes with chew?) are very very friendly!More"
13 December 2019,50,Excellent service!,Food is great and service is top notch. Have a great fun when seeing colleagues broke the plates after cutting the suckling pigs. Will definitely visit again!More
13 December 2019,50,Delicious food & excellent service,Foods are nice and delicious. Friendly staff with attentive service. Our group did have a memorable and enjoyable dinner. Like it so much~More
13 December 2019,50,Great Experience,Super good service with amazing foods Really love the experience here will def make second visit heheMore
9 December 2019,50,Excellent Food & Service,"Chose to dine at El Cerdo to celebrate a special occasion, servers were attentive and food was delicious! The Spanish Iberico Sausage and Roasted Suckling Pig is sublime! Would come back in a heartbeat and recommend everyone to give it a try. Service was also...More"
8 December 2019,50,Nice environment and friendly,Nice environment and friendly staff. Food are delicious. Will come next time. Overall are good here.
8 December 2019,50,Delicious food and attentive service,"Came here for a birthday dinner. Order Pork Belly Fettucine and Pork Shoulder steak. Starter with 4 different mini sausages. The staff, Irene, really an attentive lady. And the food served here are really delicious. The ambiance are great, but a little hot when it’s...More"
7 December 2019,50,Nice Spanish Restaurant,Good food and good service by Pamela! A family friendly place with nice staff serving good Spanish food. I would recommend the albondigas (meatball in tomato sauce).More
7 December 2019,50,birthday n annivesary,suckling pig n pig shoulder is marvellousss sevice is great too. waitress pamela is very helpful. ambience is cozy and kids is enjoying too. we will definately come here again.More
7 December 2019,50,Great service By Pamela,Great service By Pamela whereby she goes to the extend of cutting up the pork knuckle to servable portion.
5 December 2019,50,Anniversary dinner,"Our first anniversary dinner here was not dissapointing at all,out waitress “zar zar lee” was very attentive,cheers to her. Food was good,ambience very classy, overrall great place and well spend for our first anniversaryMore"
