11 January 2021,40,Good food and atmosphere,Went to Bijan few years ago and it was filled with mostly foreigners who like to taste malay cuisine. Went again last week but the place was quiet and has no guests except our table. I think it's because of the MCO. Ordered few meals...More
23 November 2020,50,Quiet location,"Quiet location on the hill. a short walk to other bars and restaurnts. Food all traditional style, spicyness toned down for thetourists I supect"
2 September 2020,50,Authentic Malay food and good service,Was the first time since the MCO has started at the Bijan. Glad to see that they still have the same good Malay food. Foe me personally one of the best Malay restaurants in KL. Also their service staff is very friendly and attentive. Love...More
8 August 2020,50,"Amazing Malaysian food, great","Amazing Malaysian food, great atmosphere and lovely staff! I especially loved the creamy durian prawns. I would definitely recommend this place for a beautiful chilled dinner In KL ."
24 May 2020,50,"Great malay food, perfect service and charming setting","Could not recommend this place more! Kindest team will make sure you feel great, the inside and the outside are both really great, and extremely comfy. Service is kind and attentive to whatever unusual needs you may have, which makes it even greater. Drinks are...More"
17 March 2020,50,Good Malay food,"Great local Malay food, all dishes were excellent very relaxed atmosphere and friendly staff, would definitely recommend ."
14 March 2020,40,Cozy restaurant with good Malay foods,Authentic Malay foods serve at its best. Our fave is satay with delicious peanut sauce. Cozy environment with soothing traditional Malay and Indonesia songs and friendly staff. Advisable for you to make a booking before dining.
8 March 2020,50,Amazing restaurant with top quality food and service,"I went dining on this restaurant for 5 days in a 7 day stay at KL. The service and friendly staff, together with amazing food for sure convinced me to go over and over again. Thank you."
8 March 2020,50,great food,"they serve great local Malaysian food, the environment is very comfortable and relaxing, after meal you may fo to Changkat to enjoy a drink which is a stone throw away."
3 March 2020,50,Authentic Awesomeness,My daughter and son-in-law were visiting KL and wanted authentic Malaysian cuisine.. we took them to Bijan.. Fantastic service.. which is very hard to find here.. all the food came out as ordered and was delicious 😋 The atmosphere is lovely and staff are so...More
28 February 2020,50,Great Malaysian food,"We were a big group and were recommended to come here for a Malaysian treat, and that is precisely what we got. Great food and drinks at a sensible price for a fantastic spread of starters and fish and meat mains. Around 325/head including a...More"
27 February 2020,40,Good westernized malay food and karoke!!,"The food was average as they had customized vegetarian to not have meat, which seemed lacking any flavor. Limited drink options however the karoke was super fun!"
25 February 2020,50,Worth to find! Great malaysian food,"Worth to find! We were here with a family of 8 persons and got great service. I took vegeterian food (wich although included prawns) and it consisted of cocos milk, curry, vegetables and prawns. They made it less spicy when I asked. Delicious! They served...More"
