11 February 2020,50,Best food in KL I had so far,Very delicious Indian food! Especially the “Lime Chicken (boneless)“ was very rich in flavor with perfectly tender chicken. Would definitely recommend and come back to try out more.
24 January 2020,50,Excellent Restaurant,A lovely restaurant with wonderful Malay / Indian food; we recommend; Fish Tikka Mutton Masala Palak Paneer Bindi Masala (Okra) Gobi Manchurian (Cauliflower) Garlic naan bread Paratha bread. Enjoy!
12 January 2020,20,We came to this restaurant for fine dining experience,We came to this restaurant due to the rating and the restaurant describing them self as fine dining on their web site. This restaurant is described as fine dining and it’s not. We ordered 2 veg dishes and 2 meat dishes. Roti and naan and...More
29 December 2019,40,Tasty vegetarian food and cheap,"Good value Indian food. We had quick service and the resturant was clean and tidy inside. A nice atmosphere, even though they were very busy they were able to seat 7 of us. Excellent range of vegetarian and non-vegetarian food. I had the Northern thali...More"
29 December 2019,40,Big fat stomachs. Nom nom nom,Really fancied a curry tonight and was recommended this place by someone on the street. Really good food. Great service. Big fat stomachs now as eyes were definitely bigger than our tummy’s
7 November 2019,20,Poor customer service”,"Came across from trip advisor, heard the food are great, unfortunately overrated, doesn’t seem match how Indian foods are prepared. The ladies working here have no smiles, this is not I called “fine dining “ frankly as a stall service. Food not that great, mango...More"
23 October 2019,20,Overrated,"The service was so cold. We felt very unwelcome. I think the only person who spoke to us was the guy who took our order, the others didn’t even make eye contact. The onion bhajis were the strangest I’ve ever come across. The chicken curry...More"
27 September 2019,40,Affordable & Yummy Indian Food,Interesting menu. Avoid going there during peak hours as the place can get really crowded and noisy. No reservations are required. Mutton briyani was good. Baghra brinjal is a must try! Yummy food at affordable price. The briyani over here is way cheaper than any...More
10 September 2019,50,Chicken Lollipop is the best,"great taste, especially Chicken Lollipop and not expensive. the restaurant is on the 2nd floor and clean"
10 September 2019,40,Good food !,"Came here because it was rated 4.2 on google, and also we were craving Good, wallet friendly Indian restaurant! I got masala dosa: very tasty, comes with 3 different chutneys and sambhar. I liked 2 chutneys out of the 3; I didn’t like the red...More"
4 September 2019,50,Nice food,awesome chettinadu food. must try kuzhi paniyaram. Very good ambiance and good service. Must visit restaurant in KL.
14 August 2019,40,South Indian Touch,"Although there are many Indian restaurants in Lebuh Ampang, this has got to be my favorite. Been there on a few occasions during tea time. Love their masala tea and saffron milk."
28 July 2019,30,Yeah..... hmmm...,"Our expectations were maybe a little too high.... Now, good points. The mango Lasse was amazing, the naan bread was also excellent, got the chicken 65 starter and that was also great. Bad points... we got the house favorite chicken curry, sauce was ok but...More"
22 July 2019,10,Wow what happened with quality?,"We enjoyed Betel Leaf every time we visited KL. We wrote reviews before, and had good experiences. But not this time. We came for lunch, ordered biryani and curry chicken with extra veggies. All food tastes pepper. Like someone accidentally dropped a jar of pepper...More"
17 July 2019,40,Lovely!,Lovely dinner! Great massala tea! Menu is hard if you don’t know any indian dish. But the food is great and the staff is doing a great job!
15 July 2019,50,Excellent Chettinad Food in KL,"Very tastefully designed and the food + service was remarkable. All the dishes were prepared Ala Minute, Hot and good portions. We tried their Kesary desserts, it was fantastic."
