"";"Review Date";"Review Rating";"Review Title";"Review Body";"Restourant Name"
"1";2018-06-09;50;"A must try";"The staffs are very welcoming and friendly and has a passion doing their job. Very unique experienced. The dining area is totally dark, the menu are yummy and it is reasonable price. It will really fill your hungry tummy. Menu is consists of four appetisers,...More";"DiningInTheDarkKL"
"2";2018-06-08;50;"amazing even for a claustrophobic!";"before entering l was a bit worried cause l have claustrophobia. The waiters kept assured me l can tell them if at any point l feel uncomfortable. surprisingly l was ok throughout, and the waiter came joyfully (from his voice) explaining every dish they served....More";"DiningInTheDarkKL"
"3";2018-06-06;50;"Clever, different, great experience";"This was nothing like we've done before. Really interesting to eat without being able to see the food. Completely changes the experience. The staff were super friendly, especially Yus our waiter. Would recommend that everyone tries this!";"DiningInTheDarkKL"
"4";2018-06-05;50;"Amazing dinner experience";"A very different dinner experience. When I came out of the dining room I had started having a different perspective about life and started having so much respect for the visually impaired people. They are super talented and gentle. Food and service was outstanding.";"DiningInTheDarkKL"
"5";2018-05-30;50;"Best time of our trip.";"We were on trip in Malaysia, been to Penang Malacca and last stop in KL. In KL we had a good time in batucaves. The last day last stop is the dining in the dark, glad we did it. Had a wonderful time and really...More";"DiningInTheDarkKL"
"6";2018-05-28;30;"Interesting Dining Place that use your other senses";"Give you surprise once you walk into the restaurant. You are blindfolded. You use other senses to tell you what are the food and ppl around you.";"DiningInTheDarkKL"
"7";2018-05-27;50;"The best experience.";"Totally different than I thought, it was quite impressive and they have exceeded my expectations. A bit challenging when trying to figure out what we were eating, but it was fun doing it. They change menu next month and will come again.";"DiningInTheDarkKL"
"8";2018-05-21;50;"A Dark Dining Experience";"Dining in The Dark gave us one of the best dining experience in Malaysia. Its unique theme and dark ambiance brought a marvelous experience that we never imagine. A setting that will heighten your tasting senses. No need to say more. This place is highly...More";"DiningInTheDarkKL"
"9";2018-05-20;30;"If you want some adventure, you have to try this";"I am not an adventurous type of person when it comes to dining. But this is something that those who look for an adventure must try in KL. The servers are visually challenged and you get to experience how they feel when they eat. It’s...More";"DiningInTheDarkKL"
"10";2018-05-20;40;"The most unique birthday meal ever!";"This restaurant offers one of a kind ambience and it’s definitely a must go place in KL! It was fun guessing what’s the ingredient of the welcome cocktail ! Love the courtesy and hospitality! Waiters are truly talented because they can serve you in the...More";"DiningInTheDarkKL"
"11";2018-05-17;50;"One of the best dining experiences ever..!!";"If you have not tried this you should. The experience firstly, gives you a brief insight into another world, the world of the blind or sight impaired and secondly highlights your other senses.. The concept is wonderful and it exceeded my expectations. Our host Joy...More";"DiningInTheDarkKL"
